ID_Pregunta,Pregunta,Opcion_A,Opcion_B,Opcion_C,Opcion_Correcta,Comentario,Estado,ID_Video,ID_Area,ID_Tema
PREG015, Caso: Se requiere medir la corriente que consume una carga resistiva desde un microcontrolador. ¿Qué configuración es adecuada?,  Optoacoplador, Divisor de voltaje, no aplica,  Shunt de bajo valor en serie + amplificador diferencial, no aplica,Activo, no aplica,AR1C2,TEM02
PREG016, Caso: Se diseña un sistema de control para una lámpara de alta potencia y se busca activar/desactivar la carga desde un microcontrolador. ¿Qué componente de potencia es más adecuado?, Transistor BJT, Rele mecanico, no aplica, TRIAC, no aplica,Activo, no aplica,AR1C2,TEM02
PREG017, Caso: En un circuito analógico y se necesita amplificar una señal de 0-100 mV hasta 0-5 V para su lectura por un ADC. ¿Qué circuito se debe usar?, Filtro pasabajos, Comparador de voltaje, no aplica, Amplificador operacional en configuración no inversora, no aplica,Activo, no aplica,AR1C2,TEM02
PREG018, Caso: Un sensor digital genera pulsos de 3.3V pero el sistema receptor opera a 5V lógicos. ¿Qué se requiere para la correcta comunicación?,  Pull-up resistor, Inversor logico, no aplica, Adaptador de nivel logico, no aplica,Activo, no aplica,AR1C2,TEM02
PREG019, Caso: En un sistema se requiere evitar rebotes de una señal digital proveniente de un pulsador mecánico. ¿Qué circuito es adecuado?, Puente H, Amplificador inverso, no aplica, Filtro RC + compuerta Schmitt Trigger,no aplica,Activo, no aplica,AR1C2,TEM02
PREG020, Caso: En un sistema de potencia se quiere evitar el disparo accidental del MOSFET por ruidos en la compuerta. ¿Qué técnica se recomienda?, Optoacoplador en drenador, Filtro LC en la carga, no aplica, Resistencia de gate + zener, no aplica,Activo, no aplica,AR1C2,TEM02
PREG021, Caso: En una línea de ensamblaje y se requiere que una banda transportadora se detenga cuando se detecte una pieza metálica. El estudiante decide usar un qPLC con una entrada digital proveniente de un sensor inductivo. ¿Qué tipo de lógica de control debe programar para cumplir la función?, Lazo cerrado analógico, Logica secuencial, no aplica, Logica combinacional, no aplica,Activo, no aplica,AR1C2,TEM03
PREG022, Caso: Se requiere regular la velocidad de un ventilador industrial en función de la temperatura ambiente utilizando un microcontrolador. ¿Qué tipo de control sería el más adecuado?, Control ON/OFF, Control manual, no aplica, Control proporcional, no aplica,Activo, no aplica,AR1C2,TEM03
PREG023, Caso: Un sistema de control de nivel de agua utiliza un sensor ultrasónico y una bomba controlada por un relé conectado a un microcontrolador. Se desea mantener el nivel de agua entre dos valores definidos. ¿Cuál es el mejor enfoque de control?, Control de realimentación abierta, Control proporcional-integral, no aplica, Control de histerisis digital, no aplica,Activo, no aplica,AR1C2,TEM03
PREG024, Caso: Se diseña un sistema de iluminación industrial que se activa automáticamente al anochecer. Se utiliza un LDR (resistencia dependiente de la luz) conectado a un comparador con referencia fija. ¿Qué tipo de sistema de control representa este ejemplo?, Controlador digital secuencial, Control PID, no aplica, Control de umbral analogico, no aplica,Activo, no aplica,AR1C2,TEM03
PREG025, Caso: Un estudiante programa un PLC para activar un actuador neumático si se presionan dos botones simultáneamente como medida de seguridad. ¿Qué lógica debe implementar?, OR Logico,  XOR lógico, no aplica, AND logico, no aplica,Activo, no aplica,AR1C2,TEM03
PREG026, Caso: Se requiere controlar la apertura gradual de una válvula proporcional según la presión medida por un sensor analógico. ¿Qué tipo de sistema de control debe implementarse?,  Control por lógica difusa,  Control ON/OFF, no aplica, Control proporcional-integral-derivativo (PID), no aplica,Activo, no aplica,AR1C2,TEM03
PREG027, Caso: En un sistema automatizado de llenado y el estudiante desea evitar que el PLC active la bomba si no se encuentra un recipiente en posición. ¿Qué elemento debe incorporar al programa del PLC?, Temporizador(TON), Contador ascendente, no aplica,  Contacto de sensor de presencia en serie logica, no aplica,Activo, no aplica,AR1C2,TEM03
PREG028, Caso: Un estudiante desea analizar la respuesta dinámica de un brazo robótico ante un movimiento angular repentino. ¿Qué herramienta es la más adecuada para simular este comportamiento?, Simulador CAD estatico, Analizador lógico, no aplica, Simulador dinámico tipo Simulink o MSC Adams, no aplica,Activo, no aplica,AR1C2,TEM04
PREG029, Caso: Para anticipar el comportamiento térmico de un disipador de calor en un sistema embebido un alumno decide realizar una simulación. ¿Qué tipo de análisis debe aplicar?, Analisis estructural, Análisis modal, no aplica, Analisis termico transitorio, no aplica,Activo, no aplica,AR1C2,TEM04
PREG030, Caso: Un estudiante modela un sistema masa-resorte-amortiguador para una plataforma antivibración. ¿Cuál es el objetivo del modelado en este caso?, Obtener el diagrama eléctrico del sistema,  Controlar directamente el sistema, no aplica, Determinar la ecuación diferencial del sistema y su respuesta, no aplica,Activo, no aplica,AR1C2,TEM04
PREG031, Caso: Al simular un sistema neumático en un entorno virtual  y un estudiante observa que los tiempos de respuesta del actuador varían con la carga. ¿Qué conclusión puede obtener del modelo?, La simulacion solo sirve para visualizar, El modelo está mal diseñado si cambia el comportamiento, no aplica, La variación de carga afecta directamente la dinámica del sistema, no aplica,Activo, no aplica,AR1C2,TEM04
PREG032, Caso: Un docente solicita a los alumnos simular el comportamiento de un sistema de control PID para el posicionamiento de un motor DC. ¿Qué parámetro se debe observar para evaluar el desempeño del sistema?, El color de los graficos generados, Frecuencia de muestreo de los sensores, no aplica,Tiempo de establecimiento y sobreimpulso, no aplica,Activo, no aplica,AR1C2,TEM04
PREG033, Caso: Para verificar el diseño de un sistema de suspensión semiactiva  un estudiante desarrolla un modelo matemático y lo simula. ¿Cuál es una ventaja clave de esta práctica antes de la implementación física?, Elimina la necesidad de fabricar el prototipo,Garantiza la perfección del diseño final, no aplica, Reduce el riesgo de fallos en la fase de pruebas reales, no aplica,Activo, no aplica,AR1C2,TEM04
PREG034, Caso: En la simulación de un sistema mecatrónico con control digital un alumno observa una inestabilidad oscilatoria creciente. ¿Cuál podría ser una causa representada en el modelo?,Uso de actuadores lineales, Mal diseño de los componentes mecánicos, no aplica, Exceso de ganancia en el controlador, no aplica,Activo, no aplica,AR1C2,TEM04
PREG035, Caso: Un estudiante realiza un modelado en SolidWorks Motion de un sistema de engranes con diferentes diámetros. ¿Qué aspecto puede validar con esta simulación?,La codificación del microcontrolador, El consumo electrico delsistema, no aplica, La velocidad angular relativa entre engranes, no aplica,Activo, no aplica,AR1C2,TEM04
PREG036, Caso: En una simulación de control de temperatura un alumno desea analizar el efecto de variaciones externas en el sistema. ¿Qué práctica de simulación debe realizar?, Ensayo destructivo, Estudio de factores externos cualitativos, no aplica, Sensibilidad parametrica, no aplica,Activo, no aplica,AR1C2,TEM04
PREG037, Caso: Un docente pide comparar el comportamiento real de un robot móvil con su simulación desarrollada en ROS (Robot Operating System). ¿Qué permite esta comparación?, Ver si la simulacuion tiene graficos atractivos, Sustituir las pruebas físicas por simulaciones, no aplica, Validar que el modelo matemático refleja el comportamiento real del sistema, no aplica,Activo, no aplica,AR1C2,TEM04
PREG238, Caso: En el diseño de un sistema mecánico de transporte de carga se requiere disminuir el peso total sin sacrificar resistencia estructural. ¿Qué técnica de diseño se debe aplicar?, Sobredimensionamiento, Uso de acero sólido, no aplica, Optimización topológica, no aplica,Activo, no aplica,AR1C2,TEM01
PREG239, Caso: Para una máquina que realiza cortes cíclicos se necesita un mecanismo que acumule energía y suavice el movimiento. ¿Qué componente es el adecuado?, Leva, Riel lineal, no aplica, Volante de inercia, no aplica,Activo, no aplica,AR1C2,TEM01
PREG240, Caso: Se requiere un elemento de unión mecánica que facilite el desmontaje frecuente sin dañar componentes. ¿Cuál es la opción adecuada?, Soldadura, Pegamento epóxico, no aplica, Tornillo con tuerca, no aplica,Activo, no aplica,AR1C2,TEM01
PREG241, Caso: En un sistema de adquisición de señales analógicas se requiere filtrar el ruido de alta frecuencia. ¿Qué circuito es más adecuado?, Comparador, Inversor lógico, no aplica, Filtro pasa bajos RC, no aplica,Activo, no aplica,AR1C2,TEM02
PREG242, Caso: Un sensor de temperatura tipo LM35 entrega una señal analógica proporcional a °C. ¿Qué tipo de conversor debe usarse para leerlo en un microcontrolador?, Comparador, Convertidor DAC, no aplica, Convertidor ADC, no aplica,Activo, no aplica,AR1C2,TEM02
PREG243, Caso: Se diseña un sistema para controlar la iluminación mediante una señal PWM. ¿Qué tipo de componente electrónico se necesita para controlar la potencia?, Amplificador operacional, Relevador mecánico, no aplica, Transistor MOSFET, no aplica,Activo, no aplica,AR1C2,TEM02
PREG244, Caso: En un sistema de control de velocidad de un motor se requiere mantener la velocidad constante ante variaciones de carga. ¿Qué tipo de controlador es más eficaz?, Lazo abierto, Control ON/OFF, no aplica, Control proporcional-integral (PI), no aplica,Activo, no aplica,AR1C2,TEM03
PREG245, Caso: Un estudiante diseña un control para activar una bomba cuando el nivel de agua alcanza cierto umbral. ¿Qué lógica debe usar con un sensor digital?, XOR, NAND, no aplica, Compuerta NOT y lógica combinacional, no aplica,Activo, no aplica,AR1C2,TEM03
PREG246, Caso: En una línea de producción automatizada se requiere que una alarma suene si una estación no se activa en 5 segundos. ¿Qué función del PLC debe implementarse?, Comparador, Lazo abierto, no aplica, Temporizador TON, no aplica,Activo, no aplica,AR1C2,TEM03
PREG247, Caso: Para analizar el comportamiento de un sistema masa-resorte-amortiguador ¿Qué software permite simular de forma gráfica sus ecuaciones diferenciales?, AutoCAD, LabVIEW, no aplica, Simulink, no aplica,Activo, no aplica,AR1C2,TEM04
PREG248, Caso: Un estudiante simula un sistema de control térmico y desea ver cómo afecta el cambio de masa térmica del objeto. ¿Qué análisis debe realizar?, Gráfico de Bode, Análisis de Nyquist, no aplica, Estudio de sensibilidad paramétrica, no aplica,Activo, no aplica,AR1C2,TEM04
PREG249, Caso: Se requiere conocer el comportamiento dinámico de un actuador neumático antes de su implementación. ¿Qué tipo de simulación es la más útil?, Estática estructural, Eléctrica transitoria, no aplica, Dinámica temporal, no aplica,Activo, no aplica,AR1C2,TEM04
PREG250, Caso: Un alumno desea validar su modelo simulado de un robot móvil comparándolo con datos reales. ¿Qué estrategia debe seguir?, Ignorar diferencias, Hacer pruebas sin sensores, no aplica, Realizar pruebas experimentales y comparar resultados, no aplica,Activo, no aplica,AR1C2,TEM04
PREG038, Caso: Un estudiante diseña una carcasa para un sensor de temperatura en un entorno industrial usando SolidWorks. ¿Cuál es la principal función de usar una herramienta CAD en este caso?, Validar la lógica de programación del sensor,Medir temperaturas del entorno , no aplica, Generar un modelo geométrico tridimensional para manufactura, no aplica,Activo, no aplica,AR2C2,TEM05
PREG039, Caso: Para fabricar un soporte metálico un alumno genera un código G a partir del modelo 3D creado. ¿Qué tecnología está aplicando?, CAE, CAD, no  aplica, CAM, no aplica,Activo, no aplica,AR2C2,TEM05
PREG040, Caso: Un equipo de estudiantes realiza un análisis de esfuerzos sobre una estructura de aluminio diseñada para soportar un motor. ¿Qué tipo de tecnología están usando?, CAM, CAD, no aplica, CAE, no aplica,Activo, no aplica,AR2C2,TEM05
PREG041, Caso: El docente pide simular una carga puntual sobre una placa metálica en Autodesk Inventor para verificar su resistencia. ¿Qué resultado espera el alumno del análisis CAE?, Visualización de trayectorias de herramienta, Códigos de programación en G para torno , no aplica, Mapa de esfuerzos y desplazamientos en la placa, no aplica,Activo, no aplica,AR2C2,TEM05
PREG042, Caso: Para verificar la eficiencia del diseño de un sistema de ventilación un estudiante realiza un análisis de flujo de aire. ¿Qué tipo de análisis está realizando?, Analisis estructural, Simulacion termica, no aplica, Analisis CFD, no aplica,Activo, no aplica,AR2C2,TEM05
PREG043, Caso: Un estudiante genera los planos técnicos de un componente en AutoCAD y los entrega al taller para su manufactura. ¿Qué característica debe tener el diseño para garantizar la producción correcta?, Incluir simbologia electronica, Incluir codigo fuente de programacion, no aplica, Definir cotastolerancias y materiales en el plano, no aplica,Activo, no aplica,AR2C2,TEM05
PREG044, Caso: Durante la manufactura con torno CNC un estudiante nota que el componente fabricado no coincide con el modelo CAD. ¿Cuál podría ser la causa del error?, Mala conexion del sensor al PLC, Baja resolucion del modelo CAD, no aplica, Error en la programacion del CAM, no aplica,Activo, no aplica,AR2C2,TEM05
PREG045, Caso: Un alumno decide probar varios materiales virtuales en el análisis de un eje para elegir el más resistente al esfuerzo torsional. ¿Qué ventaja ofrece esta simulación en CAE?,  Reducción del tiempo de dibujo,Garante el éxito del diseño en condiciones reales,no aplica, Permite predecir el comportamiento del componente sin fabricarlo, no aplica,Activo, no aplica,AR2C2,TEM05
PREG046, Caso: Un equipo utiliza CAM para generar el código de trayectorias de corte para una fresadora CNC. ¿Qué elementos debe contener este código?, Coordenadas de origen del modelo 3D , Resultados del análisis modal, no aplica, Trayectorias velocidades y profundidades de corte, no aplica,Activo, no apica,AR2C2,TEM05
PREG047, Caso: Se solicita a los alumnos simular una prueba de carga sobre una estructura de soporte hecha con impresión 3D antes de producirla. ¿Qué permite evitar esta práctica?, Cambiar el diseño sin consultarlo con el cliente,Generar automáticamente planos eléctricos , no aplica, Realizar iteraciones virtuales para reducir errores de diseño, no aplica,Activo, no aplica,AR2C2,TEM05
PREG048, Caso: Un estudiante utiliza un sensor de efecto Hall para medir la velocidad de rotación de un motor DC. ¿Por qué es adecuado este sensor para la aplicación?, Detecta la distancia entre dos superficies,Mide directamente el par del motor , no aplica, Es capaz de detectar campos magnéticos generados por imanes giratorios, no aplica,Activo, no aplica,AR2C2,TEM06
PREG049, Caso: Se desea detectar la presencia de un objeto metálico en una línea de producción. ¿Qué tipo de sensor es más recomendable? , Sensor capacitivo, Sensor fotoelectrico difuso, no aplica, Sensor inductivo, no aplica,Activo, no aplica,AR2C2,TEM06
PREG050, Caso: Un alumno conecta un servomotor a una tarjeta de control y programa su posición angular. ¿Qué característica distingue al servomotor en esta aplicación?,  Movimiento continuo sin control de posición, Capacidad de girar indefinidamente sin retroalimentación, no aplica, Control preciso de posición mediante retroalimentación interna, no aplica,Activo, no apica,AR2C2,TEM06
PREG051, Caso: Se requiere controlar la apertura de una válvula proporcional de flujo de agua en un sistema de riego automatizado. ¿Qué tipo de actuador es el más adecuado?, Actuador neumático de doble efecto, Solenoide on/off, no aplica, Actuador eléctrico proporcional, no aplica,Activo, no aplica,AR2C2,TEM06
PREG052, Caso: El estudiante necesita detectar el nivel de agua en un depósito con alta precisión. ¿Qué tipo de sensor sería más adecuado?, Sensor inductivo, Sensor de temperatura, no aplica, Sensor de ultrasonido, no aplica,Activo, no aplica,AR2C2,TEM06
PREG053, Caso: Un prototipo de robot móvil usa sensores infrarrojos para evitar colisiones. ¿Qué limitación tienen estos sensores?,Alta inmunidad al ruido óptico, Bajo costo y buen rendimiento a larga distancia, no aplica,  Precisión limitada en ambientes muy iluminados o con superficies oscuras, no aplica,Activo, no aplica,AR2C2,TEM06
PREG054, Caso: Un estudiante conecta un sensor de fuerza (FSR) para activar una alarma cuando se aplique presión.  ¿Qué tipo de señal entrega este sensor?, Señal binaria 0 o 1,  Señal digital PWM, no aplica,  Señal análoga proporcional a la presión, no aplica,Activo, no aplica,AR2C2,TEM06
PREG055, Caso: Se implementa un encoder óptico en el eje de un motor. ¿Cuál es la función principal del encoder en este contexto?, Controlar la velocidad mediante variación de voltaje, Medir la temperatura del motor, no aplica, Proporcionar información sobre la posición y velocidad del eje, no aplica,Activo, no aplica,AR2C2,TEM06
PREG056, Caso: Para accionar una compuerta industrial se selecciona un actuador neumático con control por válvula solenoide. ¿Qué ventaja ofrece este tipo de actuador?, Alta precisión de posicionamiento, Control proporcional mediante señales PWM, no aplica,  Fuerza considerable y rapidez en la respuesta, no applica,Activo, no aplica,AR2C2,TEM06
PREG057, Caso: Un estudiante diseña un sistema que detecta el paso de piezas en una banda transportadora y activa un pistón neumático para separar defectuosos. ¿Qué combinación de sensor y actuador es más adecuada?, Sensor capacitivo y motor paso a paso, Sensor de proximidad inductivo y servomotor, no aplica,  Sensor fotoeléctrico y actuador neumático, no aplica,Activo, no aplica,AR2C2,TEM06
PREG058, Caso: En un banco de pruebas un alumno debe registrar la variación de temperatura en tiempo real durante el funcionamiento de un motor. ¿Qué componente es necesario para transformar la señal del sensor a un formato que pueda ser digitalizado?, Amplificador operacional, DAC (convertidor digital a analógico), no aplica, Acondicionador de señal, no aplica,Activo, no aplica,AR2C2,TEM07
PREG059, Caso: Un sistema de monitoreo de vibraciones requiere registrar datos a frecuencias superiores a 5 kHz. ¿Qué parámetro del sistema de adquisición debe considerarse?, Resolución de 8 bits,Tipo de sensor utilizado,no aplica,Frecuencia de muestreo del ADC,  no aplica,Activo, no aplica,AR2C2,TEM07
PREG060, Caso: Un estudiante utiliza una tarjeta DAQ para registrar señales de presión temperatura y velocidad en un sistema hidráulico. ¿Qué función cumple el software de adquisición de datos?, Convierte señales analógicas a digitales, Aumenta la resolución del sensor, no aplica,  Almacena visualiza y analiza las señales adquiridas, no aplica,Activo, no aplica,AR2C2,TEM07
PREG061, Caso: En un laboratorio un alumno conecta una celda de carga a un sistema DAQ pero los valores registrados son erráticos. ¿Qué puede estar causando este comportamiento?, Uso de un sensor digital en lugar de uno analógico, Baja velocidad de muestreo, no aplica, Falta de un amplificador de instrumentación, no aplica,Activo, no aplica,AR2C2,TEM07
PREG062, Caso: Se desea registrar la posición de un eje giratorio a través de un potenciómetro. ¿Qué tipo de señal entrega este sensor al sistema de adquisición?,Señal digital codificada, Pulso cuadrado de frecuencia variable,no aplica,Señal de voltaje variable proporcional a la posición,  no aplica,Activo, no aplica,AR2C2,TEM07
PREG063, Caso: En una estación de pruebas se usan sensores de corriente y voltaje conectados a una tarjeta DAQ. ¿Qué tipo de análisis puede realizarse con estos datos?,  Análisis de eficiencia térmica,  Determinación de velocidades rotacionales, no aplica, Cálculo de potencia y consumo energético,no aplica,Activo, no aplica,AR2C2,TEM07
PREG064, Caso: Un alumno conecta un sensor de temperatura tipo termopar directamente al microcontrolador pero no obtiene datos consistentes. ¿Cuál es el error más probable?, Falta de conexión a tierra del microcontrolador, Baja frecuencia de muestreo, no aplica, Falta de acondicionamiento de señal y compensación de unión fría,no aplica,Activo, no aplica,AR2C2,TEM07
PREG065, Caso: En un sistema embebido se requiere integrar varios sensores para registrar diferentes variables físicas. ¿Qué estrategia facilita el escalamiento del sistema sin saturar las entradas del microcontrolador?,Uso exclusivo de sensores analógicos, Aumento del número de convertidores DAC,no aplica,Uso de sensores digitales con protocolo I2C o SPI, no aplica,Activo, no aplica,AR2C2,TEM07
PREG066, Caso: Se debe medir el desplazamiento lineal de un pistón neumático. ¿Qué sensor es el más adecuado para esta tarea en términos de instrumentación?, Sensor de efecto Hall,Acelerómetro,no aplica,Sensor LVDT (transformador diferencial variable lineal), no aplica,Activo, no aplica,AR2C2,TEM07
PREG067, Caso: Un equipo de estudiantes implementa un sistema de adquisición de datos con un microcontrolador que recibe señales de un sensor de presión. ¿Qué elemento permite visualizar los datos en tiempo real desde una PC?, Convertidor DAC, Amplificador operacional, no aplica, Comunicación serial mediante protocolo UART, no aplica,Activo, no aplica,AR2C2,TEM07
PREG068, Caso: Un alumno programa un microcontrolador para encender un LED cuando un sensor de presencia detecta movimiento. ¿Cuál estructura de programación es más adecuada para este tipo de lógica?, Ciclo for, Función delay(), no aplica, Condicional if-else, no aplica,Activo, no aplica,AR2C2,TEM08
PREG069, Caso: En un sistema automatizado se requiere que un actuador opere solo si dos sensores detectan condiciones específicas. ¿Qué operación lógica debe usarse en la programación?,OR (||), NOT (!), AND (&&), no aplica,  no aplica,Activo, no aplica,AR2C2,TEM08
PREG070, Caso: Un estudiante usa un sensor ultrasónico para medir distancia y desplegar el resultado en un display LCD. ¿Qué aspecto es esencial para una lectura precisa del sensor?, Control del brillo del LCD,Configuración del contraste del display, no aplica,Conversión del tiempo de eco a distancia,no aplica,Activo, no aplica,AR2C2,TEM08
PREG071, Caso: En un proyecto de control de temperatura el microcontrolador lee un termistor y controla un ventilador mediante PWM. ¿Cuál es el beneficio de usar PWM para este caso?, Aumenta la vida útil del ventilador,Reduce la temperatura medida, no aplica, Permite controlar la velocidad del ventilador de manera eficiente,  no aplica,Activo, no aplica,AR2C2,TEM08
PREG072, Caso: Se programa un microcontrolador para enviar datos a una computadora por comunicación serial. ¿Qué instrucción es fundamental para este tipo de comunicación?,digitalWrite(),analogRead(),no aplica, Serial.print(),no aplica,Activo, no aplica,AR2C2,TEM08
PREG073, Caso: Un estudiante debe diseñar un sistema que controle un semáforo con tiempos definidos para cada luz. ¿Qué estructura de programación facilita este diseño?, Interrupciones externas, Funciones matemáticas, no aplica, Máquina de estadoos,  no aplica,Activo, no aplica,AR2C2,TEM08
PREG074, Caso: Un equipo de trabajo programa un microcontrolador que debe atender una señal de emergencia en cualquier momento. ¿Qué técnica de programación permite reaccionar inmediatamente?,Lectura periódica (polling),Delay() entre lecturas,no aplica, Interrupciones, no aplica,Activo, no aplica,AR2C2,TEM08
PREG075, Caso: Se implementa un sistema que recibe comandos desde un módulo Bluetooth. ¿Qué estructura de programación facilita interpretar diferentes comandos enviados?,Ciclo while infinito,Declaración de constantes,no aplica,  Estructura switch-case,  no aplica,Activo, no aplica,AR2C2,TEM08
PREG076, Caso: Un alumno nota que su microcontrolador ejecuta instrucciones lentamente después de varias iteraciones. ¿Qué puede estar ocurriendo?,Baja resolución del ADC,Frecuencia de reloj demasiado alta, no aplica, Acumulación de variables no liberadas en la memoria,  no aplica,Activo, no aplica,AR2C2,TEM08
PREG077, Caso: Se desea leer y visualizar datos de un sensor I2C cada segundo. ¿Qué aspecto debe considerarse en la programación?,Calibrar el sensor mediante PWM, Añadir una resistencia de carga al sensor, no aplica, Configurar correctamente la dirección del dispositivo esclavo, no aplica,Activo, no aplica,AR2C2,TEM08
PREG178, Caso: Un estudiante modela una pieza con múltiples cavidades en SolidWorks y desea que el mecanizado sea eficiente. ¿Qué función del software CAM debe utilizar para definir el orden y tipo de operación?, Simulación estructural, Análisis térmico, no aplica, Estrategia de maquinado, no aplica,Activo, no aplica,AR2C2,TEM05
PREG179, Caso: Para asegurar una adecuada fabricación CNC un alumno decide verificar la trayectoria de herramienta antes de enviar el archivo a la máquina. ¿Qué procedimiento realiza?, Análisis estructural, Generación de código fuente, no aplica, Simulación del proceso de mecanizado, no aplica,Activo, no aplica,AR2C2,TEM05
PREG180, Caso: En el análisis de vibraciones de un soporte metálico mediante software CAE se observa una frecuencia específica de resonancia. ¿Qué tipo de análisis se está realizando?, Análisis CFD, Análisis térmico transitorio, no aplica, Análisis modal, no aplica,Activo, no aplica,AR2C2,TEM05
PREG181, Caso: Un sistema automatizado debe detectar el color de los objetos que pasan por una banda. ¿Qué sensor es más adecuado para esta tarea?, Sensor capacitivo, Sensor de efecto Hall, no aplica, Sensor óptico RGB, no aplica,Activo, no aplica,AR2C2,TEM06
PREG182, Caso: Se necesita medir la fuerza ejercida en una prensa mecánica. ¿Qué tipo de sensor debe seleccionarse?, Sensor de temperatura, Sensor de velocidad, no aplica, Célula de carga, no aplica,Activo, no aplica,AR2C2,TEM06
PREG183, Caso: En un sistema robótico se quiere medir la inclinación de una plataforma móvil. ¿Qué sensor es el más adecuado?, Sensor de proximidad, Termistor, no aplica, Acelerómetro, no aplica,Activo, no aplica,AR2C2,TEM06
PREG184, Caso: Un estudiante conecta un sensor de presión a una DAQ pero los datos no corresponden con los valores reales. ¿Qué procedimiento puede ayudar a resolver el problema?, Aumentar la velocidad de muestreo, Cambiar el sensor, no aplica, Calibración del sistema de adquisición, no aplica,Activo, no aplica,AR2C2,TEM07
PREG185, Caso: En un sistema de adquisición de datos se requiere registrar simultáneamente temperatura y presión con velocidad. ¿Qué tipo de adquisición es más apropiada?, Asíncrona, Manual, no aplica, Adquisición multicanal sincronizada, no aplica,Activo, no aplica,AR2C2,TEM07
PREG186, Caso: Para registrar datos en campo sin una computadora un estudiante diseña un sistema autónomo de adquisición. ¿Qué componente es indispensable?, Módulo Bluetooth, Pantalla LCD, no aplica, Memoria EEPROM o SD, no aplica,Activo, no aplica,AR2C2,TEM07
